model_name,run_type,steps,overall_score,cola_score,sst2_score,mrpc_score,qqp_score,stsb_score,mnli_score,qnli_score,rte_score,wnli_score,summarization_score,translation_score,squad_score,classification_score,linguistic_acceptability_score,paraphrasing_score,completion_score,grammar_correction_score,question_generation_score,similarity_score,entailment_score,scientific_summarization_score,scientific_translation_score,medium_difficulty,easy_difficulty,hard_difficulty
red-run-t5-base-sci-cp-en-50k-steps-lr00001-clip0_5,red,50000,0.5773706004140787,0.75,0.5,1.0,0.6,0.7,0.75,0.5,0.5,0.5,0.45000000000000007,0.63989417989418,1.0,0.4,0.6,0.0,0.44999999999999996,0.3,0.1,1.0,0.5,0.9,0.8,0.6031855500821017,0.4090909090909091,0.7611111111111111
red-run-t5-base-sci-cp-en-105k-steps-lr00001-clip0_5,red,105000,0.5338923395445135,0.2,0.4,0.8,0.6,0.7,0.75,0.5,0.5,1.0,0.5,0.63989417989418,1.0,0.8,0.2,0.0,0.2,0.3,0.1,0.7,0.5,0.9,0.6000000000000001,0.5066338259441708,0.4636363636363636,0.7944444444444444
red-run-t5-base-sci-cp-en-200k-steps-lr00001-clip0_5,red,200000,0.41215320910973097,0.2,0.8,0.2,0.6,0.1,1.0,0.5,0.2,0.2,0.4,0.63989417989418,0.45,0.4,0.1,0.0,0.2,0.15,0.1,0.1,0.5,0.9,0.6000000000000001,0.4169786535303777,0.4272727272727273,0.36111111111111116
red-run-t5-base-sci-cp-en-300k-steps-lr00001-clip0_5,red,300000,0.3324430641821946,0.0,0.4,0.2,0.3,0.1,0.6,0.5,1.0,0.2,0.1,0.5658201058201058,0.9,0.4,0.0,0.0,0.2,0.15,0.1,0.1,0.5,0.0,0.8,0.318128078817734,0.35454545454545455,0.36111111111111116
green-run-t5-base-sci-cp-en-250k-steps-lr0001-clip1,green,250000,0.24472049689440992,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.32499999999999996,0.3841269841269841,0.5,0.5,0.2,0.0,0.1,0.15,0.05,0.1,0.2,0.4,0.0,0.22266009852216753,0.3181818181818182,0.2166666666666667
green-run-t5-base-sci-cp-en-200k-steps-lr0001-clip1,green,200000,0.22826086956521738,0.2,0.8,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.175,0.30000000000000004,0.1,0.5,0.1,0.0,0.1,0.3,0.1,0.1,0.0,0.4,0.4,0.19310344827586207,0.4,0.08333333333333333
green-run-t5-base-sci-cp-en-655k-steps-lr0001-clip1,green,655000,0.21739130434782605,0.2,0.2,0.2,0.2,0.05,0.2,0.2,0.2,0.2,0.22499999999999998,0.2777777777777778,0.1,0.1,0.2,0.0,0.6,0.55,0.1,0.0,0.2,0.0,0.4,0.19655172413793104,0.36363636363636365,0.05000000000000001
yellow-run-flan-t5-base-sci-cp-en-200k-steps-lr0001-clip1,yellow,200000,0.1956521739130435,0.2,0.5,0.1,0.2,0.05,0.1,0.0,0.2,0.0,0.0,0.26666666666666666,0.5,0.5,0.2,0.0,0.2,0.3,0.1,0.1,0.0,0.0,0.4,0.10689655172413794,0.5,0.06666666666666667
yellow-run-flan-t5-base-sci-cp-en-600k-steps-lr0001-clip1,yellow,600000,0.19347826086956518,0.2,0.2,0.2,0.2,0.05,0.2,0.2,0.2,0.2,0.1,0.26666666666666666,0.5,0.2,0.2,0.0,0.2,0.3,0.1,0.1,0.2,0.0,0.1,0.14482758620689656,0.3727272727272727,0.09999999999999999
yellow-run-flan-t5-base-sci-cp-en-500k-steps-lr0001-clip1,yellow,500000,0.1913043478260869,0.2,0.2,0.2,0.2,0.05,0.2,0.2,0.2,0.2,0.1,0.2555555555555556,0.5,0.2,0.2,0.0,0.2,0.3,0.1,0.1,0.2,0.0,0.1,0.16551724137931031,0.3090909090909091,0.09999999999999999
yellow-run-flan-t5-base-sci-cp-en-295k-steps-lr0001-clip1,yellow,295000,0.18913043478260863,0.2,0.2,0.2,0.2,0.05,0.2,0.2,0.2,0.0,0.0,0.26666666666666666,0.5,0.2,0.2,0.0,0.2,0.55,0.1,0.1,0.2,0.0,0.0,0.11724137931034484,0.3909090909090909,0.16666666666666666
yellow-run-flan-t5-base-sci-cp-en-50k-steps-lr0001-clip1,yellow,50000,0.18043478260869564,0.2,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2222222222222222,0.9,0.5,0.2,0.0,0.44999999999999996,0.0,0.1,0.0,0.2,0.0,0.4,0.14827586206896554,0.3454545454545455,0.03333333333333333
yellow-run-flan-t5-base-sci-cp-en-400k-steps-lr0001-clip1,yellow,400000,0.1760869565217391,0.2,0.2,0.2,0.2,0.05,0.2,0.2,0.2,0.2,0.075,0.1888888888888889,0.5,0.2,0.2,0.0,0.2,0.3,0.1,0.1,0.2,0.0,0.1,0.1413793103448276,0.3090909090909091,0.09999999999999999
yellow-run-flan-t5-base-sci-cp-en-90k-steps-lr0001-clip1,yellow,90000,0.1608695652173913,0.2,0.5,0.1,0.0,0.1,0.2,0.0,0.2,0.0,0.025,0.2555555555555556,0.1,0.2,0.2,0.0,0.2,0.15,0.1,0.1,0.2,0.0,0.4,0.10689655172413794,0.34545454545454546,0.08333333333333333
green-run-t5-base-sci-cp-en-400k-steps-lr0001-clip1,green,400000,0.14130434782608695,0.2,0.5,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.275,0.044444444444444446,0.1,0.1,0.2,0.0,0.0,0.0,0.05,0.1,0.2,0.4,0.0,0.1620689655172414,0.11818181818181818,0.08333333333333333
green-run-t5-base-sci-cp-en-500k-steps-lr0001-clip1,green,500000,0.10217391304347823,0.0,0.0,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.37500000000000006,0.03333333333333334,0.1,0.1,0.1,0.0,0.1,0.0,0.05,0.1,0.0,0.3,0.0,0.1275862068965517,0.02727272727272728,0.11666666666666665
green-run-t5-base-sci-cp-en-295k-steps-lr0001-clip1,green,295000,0.09782608695652174,0.1,0.1,0.2,0.2,0.05,0.0,0.2,0.0,0.2,0.175,0.044444444444444446,0.05,0.4,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.3,0.0,0.09999999999999999,0.1,0.08333333333333333
green-run-t5-base-sci-cp-en-50k-steps-lr0001-clip1,green,50000,0.07608695652173915,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.16666666666666666,0.0,0.4,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.04482758620689656,0.1,0.18333333333333335
green-run-t5-base-sci-cp-en-100k-steps-lr0001-clip1,green,100000,0.07173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.4,0.0,0.0,0.0,0.15,0.0,0.0,0.2,0.0,0.0,0.017241379310344827,0.18181818181818182,0.13333333333333333
red-run-t5-base-sci-cp-en-600k-steps-lr00001-clip0_5,red,600000,0.06956521739130435,0.2,0.0,0.2,0.2,0.05,0.0,0.0,0.0,0.2,0.0,0.011111111111111112,0.0,0.1,0.2,0.0,0.2,0.15,0.1,0.1,0.0,0.0,0.0,0.0724137931034483,0.06363636363636363,0.06666666666666667
red-run-t5-base-sci-cp-en-500k-steps-lr00001-clip0_5,red,500000,0.06739130434782609,0.2,0.0,0.2,0.1,0.0,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.3,0.1,0.1,0.0,0.0,0.0,0.07586206896551725,0.05454545454545454,0.05000000000000001
